timestamp,value
0,192
1,313
2,847
3,1022
4,1023
5,1022
6,1022
7,1022
8,1023
9,1020
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,193
21,312
22,847
23,1022
24,1023
25,1022
26,1022
27,1022
28,1022
29,1021
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,196
41,313
42,841
43,1022
44,1023
45,1023
46,1022
47,1022
48,1022
49,1021
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,192
61,310
62,834
63,1022
64,1022
65,1022
66,1022
67,1022
68,1022
69,1021
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,189
81,308
82,829
83,1022
84,1022
85,1022
86,1022
87,1022
88,1022
89,1021
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,192
101,312
102,827
103,1023
104,1022
105,1022
106,1023
107,1022
108,1022
109,1022
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,198
121,316
122,828
123,1023
124,1023
125,1022
126,1023
127,1022
128,1022
129,1022
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,196
141,315
142,825
143,1022
144,1022
145,1022
146,1023
147,1023
148,1022
149,1022
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,198
161,317
162,826
163,1022
164,1023
165,1023
166,1023
167,1022
168,1022
169,1022
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,200
181,317
182,826
183,1022
184,1023
185,1023
186,1022
187,1023
188,1022
189,1022
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,190
201,312
202,814
203,1023
204,1022
205,1022
206,1022
207,1023
208,1023
209,1022
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,198
221,318
222,817
223,1023
224,1022
225,1022
226,1022
227,1022
228,1023
229,1022
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,192
241,311
242,807
243,1022
244,1023
245,1022
246,1023
247,1022
248,1022
249,1022
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,189
261,311
262,797
263,1022
264,1022
265,1022
266,1023
267,1022
268,1022
269,1022
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,191
281,313
282,798
283,1022
284,1022
285,1022
286,1023
287,1023
288,1022
289,1022
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,191
301,311
302,793
303,1022
304,1022
305,1022
306,1023
307,1023
308,1023
309,1022
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,192
321,315
322,789
323,1023
324,1023
325,1022
326,1022
327,1022
328,1022
329,1022
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,191
341,312
342,788
343,1022
344,1022
345,1022
346,1022
347,1023
348,1022
349,1022
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,184
361,306
362,772
363,1022
364,1023
365,1023
366,1022
367,1023
368,1022
369,1022
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,188
381,310
382,775
383,1022
384,1022
385,1023
386,1022
387,1023
388,1022
389,1022
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,185
401,306
402,772
403,1022
404,1022
405,1023
406,1023
407,1023
408,1022
409,1022
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,185
421,302
422,759
423,1022
424,1022
425,1023
426,1022
427,1023
428,1023
429,1022
430,0
431,0
432,0
433,0
434,0
435,0
