timestamp,value
0,743
1,284
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,298
10,860
11,1022
12,1022
13,1023
14,1022
15,1022
16,1022
17,1022
18,1022
19,1020
20,744
21,285
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,294
30,855
31,1022
32,1023
33,1023
34,1022
35,1022
36,1022
37,1022
38,1022
39,1021
40,746
41,290
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,294
50,857
51,1022
52,1022
53,1023
54,1022
55,1022
56,1022
57,1022
58,1022
59,1021
60,748
61,295
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,290
70,852
71,1022
72,1022
73,1022
74,1023
75,1022
76,1022
77,1022
78,1022
79,1021
80,754
81,296
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,287
90,850
91,1022
92,1023
93,1022
94,1022
95,1022
96,1022
97,1022
98,1022
99,1022
100,759
101,304
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,283
110,844
111,1022
112,1022
113,1023
114,1023
115,1022
116,1022
117,1022
118,1022
119,1021
120,752
121,297
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,287
130,849
131,1022
132,1022
133,1022
134,1023
135,1022
136,1022
137,1022
138,1022
139,1021
140,750
141,299
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,280
150,843
151,1022
152,1022
153,1022
154,1023
155,1022
156,1022
157,1022
158,1022
159,1022
160,762
161,309
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,283
170,845
171,1022
172,1022
173,1023
174,1023
175,1022
176,1022
177,1022
178,1022
179,1021
180,755
181,306
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,286
190,849
191,1022
192,1023
193,1023
194,1022
195,1022
196,1022
197,1022
198,1022
199,1022
200,758
201,309
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,271
210,835
211,1022
212,1022
213,1022
214,1022
215,1022
216,1022
217,1023
218,1022
219,1022
220,766
221,317
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,275
230,837
231,1022
232,1023
233,1023
234,1023
235,1022
236,1023
237,1022
238,1022
239,1021
240,755
241,310
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,266
250,831
251,1023
252,1022
253,1023
254,1023
255,1023
256,1022
257,1022
258,1022
259,1022
260,765
261,319
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,261
270,824
271,1022
272,1023
273,1023
274,1022
275,1023
276,1023
277,1022
278,1022
279,1022
280,767
281,320
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,261
290,823
291,1022
292,1023
293,1023
294,1022
295,1022
296,1022
297,1022
298,1022
299,1022
300,766
301,321
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,260
310,824
311,1022
312,1022
313,1023
314,1023
315,1022
316,1022
317,1022
318,1022
319,1022
320,773
321,329
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,247
330,810
331,1022
332,1022
333,1022
334,1022
335,1022
336,1022
337,1022
338,1022
339,1022
340,779
341,338
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,251
350,815
351,1022
352,1022
353,1022
354,1023
355,1022
356,1022
357,1022
358,1022
359,1022
360,779
361,335
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,246
370,812
371,1022
372,1023
373,1023
374,1023
375,1022
376,1023
377,1022
